,player_name,win,lost,match_played,total_win_percentage,total_lost_percentage
2711,Filip Urban,1.0,8.0,9.0,0.1111111111111111,0.8888888888888888
2712,Filip Veger,19.0,33.0,52.0,0.36538461538461536,0.6346153846153846
2713,Filip Vittek,0.0,1.0,1.0,0.0,1.0
2714,Filip Zeman,0.0,1.0,1.0,0.0,1.0
2715,Filipe Brandao,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666
2716,Filipp Kekercheni,4.0,4.0,8.0,0.5,0.5
2717,Filippo Baldi,81.0,98.0,179.0,0.45251396648044695,0.547486033519553
2718,Filippo Figliomeni,0.0,6.0,6.0,0.0,1.0
2719,Filippo Giorgetti,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666
2720,Filippo Grasso,0.0,2.0,2.0,0.0,1.0
2721,Filippo Leonardi,1.0,3.0,4.0,0.25,0.75
2722,Filippo Messori,67.0,92.0,159.0,0.42138364779874216,0.5786163522012578
2723,Filippo Moggian,0.0,1.0,1.0,0.0,1.0
2724,Filippo Mora,0.0,1.0,1.0,0.0,1.0
2725,Filippo Piranomonte,0.0,1.0,1.0,0.0,1.0
2726,Filippo Sassi,0.0,1.0,1.0,0.0,1.0
2727,Filippo Speziali,0.0,1.0,1.0,0.0,1.0
2728,Filippo Veglio,3.0,10.0,13.0,0.23076923076923078,0.7692307692307693
2729,Filippo Volandri,368.0,216.00462962962962,584.0046296296296,0.630131990962781,0.3698680090372191
2730,Finn Bass,1.0,3.0,4.0,0.25,0.75
2731,Finn Meinecke,0.0,1.0,1.0,0.0,1.0
2732,Finn Reynolds,0.0,1.0,1.0,0.0,1.0
2733,Finn Tearney,10.0,25.0,35.0,0.2857142857142857,0.7142857142857143
2734,Flavio Arenzon,0.0,5.0,5.0,0.0,1.0
2735,Flavio Cipolla,295.0,265.0,560.0,0.5267857142857143,0.4732142857142857
2736,Flavio Cobolli,32.0,30.0,62.0,0.5161290322580645,0.4838709677419355
2737,Flavio Saretta,144.0,106.0,250.0,0.576,0.424
2738,Fletcher Scott,0.0,2.0,2.0,0.0,1.0
2739,Florent Diep,1.0,8.0,9.0,0.1111111111111111,0.8888888888888888
2740,Florent Scaccianoce,0.0,2.0,2.0,0.0,1.0
2741,Florent Serra,234.017094017094,183.0054644808743,417.0225584979683,0.5611617147522586,0.4388382852477413
2742,Florian Allgauer,23.0,33.0,56.0,0.4107142857142857,0.5892857142857143
2743,Florian Barth,0.0,3.0,3.0,0.0,1.0
2744,Florian Broska,0.0,2.0,2.0,0.0,1.0
2745,Florian Ebner,0.0,3.0,3.0,0.0,1.0
2746,Florian Fallert,2.0,8.0,10.0,0.2,0.8
